logFC	logCPM	PValue	FDR	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	DE	Regulation
Eco2104	-3.73375451404567	9.21948730652954	6.78810939313513e-20	4.45590895163656e-18	1284	1225	1608	184	109	279	806.664648523446	1118.61842453307	1414.69819324229	70.943397633798	57.0140777802957	122.667687941525	100	UP_CF_DOWN_NB
Eco3627	3.79663922135124	8.31639764142465	7.59850525236121e-20	4.90036935222453e-18	84	30	52	2053	1259	709	52.7724536417208	27.3947369273404	45.7489465476364	791.558670337975	658.538751609103	311.725414876491	100	DOWN_CF_UP_NB
Eco1557	-3.72019033111794	9.22494031164753	9.04936571269821e-20	5.73542557928942e-18	1274	1605	1233	186	106	288	800.382213566098	1465.61842561271	1084.77790563915	71.7145215211219	55.4448829790031	126.624710133187	100	UP_CF_DOWN_NB
Eco3511	-3.64763696157187	10.9107063015196	1.76355293200235e-19	1.09878314882044e-17	4212	4689	4299	932	712	279	2646.16160403486	4281.79738174331	3782.20617708248	359.343731492933	372.422232840096	122.667687941525	100	UP_CF_DOWN_NB
Eco2586	-3.68778185996649	8.13324514633258	3.96666200790936e-19	2.43024159017913e-17	533	761	622	93	75	107	334.853783226633	694.913160056869	547.22778370442	35.857260760561	39.2298700323135	47.0445971675381	100	UP_CF_DOWN_NB
Eco0472	-3.68008278061318	7.37612757333564	1.14990181817024e-18	6.92957226818659e-17	215	545	349	21	24	119	135.072351582976	497.671054180018	307.045814329329	8.09680081690086	12.5535584103403	52.3206267564209	100	UP_CF_DOWN_NB
Eco2095	-3.73426592261696	6.74085102013206	1.74429932842519e-18	1.03420069859532e-16	245	282	224	36	25	42	153.919656455019	257.510527117	197.07238512828	13.88022997183	13.0766233441045	18.4661035610897	100	UP_CF_DOWN_NB
Eco1662	-3.73794694283873	6.56792009250624	2.1436725316188e-18	1.25081590892551e-16	145	260	244	43	19	31	91.0953068815418	237.421053370284	214.668133800448	16.5791635774637	9.93823374151943	13.6297431046139	100	UP_CF_DOWN_NB
Eco2149	-3.55870149520188	8.56761177531886	2.59900536394542e-18	1.49280370591615e-16	1006	771	879	185	123	98	632.01295670918	704.044739032649	773.333154141776	71.32895957746	64.3369868529942	43.0875749758761	100	UP_CF_DOWN_NB
Eco2537	3.54032126318763	8.14581648483765	8.25906180268508e-18	4.67081710564159e-16	90	41	43	1069	1019	1362	56.5419146161294	37.4394738006986	37.8308596451608	412.16571777462	533.0031675057	598.829358338196	100	DOWN_CF_UP_NB
Eco0710	-3.65764687162149	6.47117162506313	1.33267101268565e-17	7.42257370095825e-16	113	250	236	37	35	17	70.9915150180291	228.289474394504	207.62983433158	14.265791915492	18.3072726817463	7.47437525091727	100	UP_CF_DOWN_NB
Eco0836	3.43801040777202	8.76824378021573	2.22754715264295e-17	1.22215870643515e-15	177	47	72	3273	2054	86	111.199098745054	42.9184211861667	63.3446952198042	1261.94424160555	1074.37537395163	37.8115453869933	100	DOWN_CF_UP_NB
Eco1057	-3.50095774000174	7.31995254498235	2.82278052180417e-17	1.52596194090472e-15	279	384	418	53	51	72	175.279935310001	350.652632669958	367.751147248308	20.4347830140831	26.6763116219732	31.6561775332967	100	UP_CF_DOWN_NB
Eco2097	-3.76728325317242	5.52163428163945	5.77336583884445e-17	3.07578156863655e-15	125	112	96	12	14	17	78.5304369668464	102.273684528738	84.4595936264056	4.62674332394335	7.32290907269853	7.47437525091727	100	UP_CF_DOWN_NB
Eco1622	-3.54278417519502	6.48463803323866	6.34303078476206e-17	3.28408185419512e-15	159	226	228	30	27	40	99.8907158218286	206.373684852631	200.591534862713	11.5668583098584	14.1227532116329	17.5867652962759	100	UP_CF_DOWN_NB
Eco3628	3.38239402514222	8.90928834114434	6.29116280851067e-17	3.28408185419512e-15	140	85	96	2912	2093	895	87.954089402868	77.6184212941312	84.4595936264056	1122.75637994359	1094.77490636843	393.503873504174	100	DOWN_CF_UP_NB
Eco1727	-3.439209075185	7.36410191514251	6.84476197075817e-17	3.49463125062598e-15	313	433	370	59	35	98	196.640214164983	395.39736965128	325.521350435105	22.7481546760548	18.3072726817463	43.0875749758761	100	UP_CF_DOWN_NB
Eco2148	-3.35494697912336	8.84343616065642	7.98121991322116e-17	4.00042362088194e-15	1230	902	1051	260	162	139	772.739499753769	823.668423615369	924.65659272242	100.246105352106	84.7365192697972	61.1140094045589	100	UP_CF_DOWN_NB
Eco3266	3.35563216189088	9.3332510753214	8.0530834587939e-17	4.00042362088194e-15	156	170	102	537	5842	562	98.0059853346243	155.236842588262	89.7383182280559	207.046763746465	3055.74534305034	247.094052412677	100	DOWN_CF_UP_NB
Eco1382	3.34370898628618	9.27874781831992	1.06091605306501e-16	5.19990321475597e-15	111	165	128	2859	4136	244	69.7350280265596	150.671053100372	112.612791501874	1102.3215969295	2163.39656604865	107.279268307283	100	DOWN_CF_UP_NB
Eco2096	-3.95347559769018	4.93014017151092	1.09286294753579e-16	5.28600551992311e-15	65	84	72	10	5	11	40.8358272227601	76.7052633965532	63.3446952198042	3.85561943661946	2.6153246688209	4.83636045647588	100	UP_CF_DOWN_NB
Eco1254	3.79841545822288	5.91147669412637	1.25698263416822e-16	6.00086774441867e-15	13	7	9	209	167	340	8.16716544455202	6.3921052830461	7.91808690247552	80.5824462253467	87.3518439386181	149.487505018345	100	DOWN_CF_UP_NB
Eco3610	4.32734968625891	4.95659750778983	1.92375044816703e-16	9.06629057366921e-15	6	1	3	226	85	61	3.76946097440863	0.913157897578014	2.63936230082517	87.1369992675997	44.4605193699553	26.8198170768208	100	DOWN_CF_UP_NB
Eco2236	3.24683938400859	10.0141743291227	3.29400410589524e-16	1.53275431560391e-14	411	154	215	6547	3739	2529	258.208076746991	140.626316227014	189.154298225804	2524.27404515476	1955.73978734427	1111.92323585705	100	DOWN_CF_UP_NB
Eco2529	-3.23604389539786	10.8542666093139	3.40432421417383e-16	1.56428697641288e-14	3010	5165	3919	1173	817	426	1891.01292216166	4716.46054099045	3447.88695231129	452.264159915462	427.344050885335	187.299050405339	100	UP_CF_DOWN_NB
Eco0792	4.47451639330624	4.80789847212508	3.67064290411577e-16	1.66583744636167e-14	4	2	2	169	113	43	2.51297398293908	1.82631579515603	1.75957486721678	65.1599684788688	59.1063375153524	18.9057726934966	100	DOWN_CF_UP_NB
